name_a	name_b	item_id_a	item_id_b	mode	score	gene_id_a	gene_id_b	experimental_score
Aimp1	Hsp90B1	10090.ENSMUSP00000029663	10090.ENSMUSP00000020238	binding	701	ENSMUSG00000028029	ENSMUSG00000020048	10
Aimp1	Tarsl2	10090.ENSMUSP00000029663	10090.ENSMUSP00000032728	binding	701	ENSMUSG00000028029	ENSMUSG00000030515	10
Grn	Grn	10090.ENSMUSP00000046340	10090.ENSMUSP00000046340	binding	701	ENSMUSG00000034708	ENSMUSG00000034708	10
Grn	Slpi	10090.ENSMUSP00000046340	10090.ENSMUSP00000104992	binding	701	ENSMUSG00000034708	ENSMUSG00000017002	10
Grn	Ctsd	10090.ENSMUSP00000046340	10090.ENSMUSP00000121203	binding	701	ENSMUSG00000034708	ENSMUSG00000007891	10
Grn	Sort1	10090.ENSMUSP00000046340	10090.ENSMUSP00000099692	binding	701	ENSMUSG00000034708	ENSMUSG00000068747	10
Grn	Psap	10090.ENSMUSP00000046340	10090.ENSMUSP00000101105	binding	701	ENSMUSG00000034708	ENSMUSG00000004207	10
Grn	M6Pr	10090.ENSMUSP00000046340	10090.ENSMUSP00000007602	binding	701	ENSMUSG00000034708	ENSMUSG00000007458	10
Grn	Gba	10090.ENSMUSP00000046340	10090.ENSMUSP00000130660	binding	701	ENSMUSG00000034708	ENSMUSG00000028048	10
Grn	Hspa1A	10090.ENSMUSP00000046340	10090.ENSMUSP00000084586	binding	701	ENSMUSG00000034708	ENSMUSG00000091971	10
Il34	Il34	10090.ENSMUSP00000076120	10090.ENSMUSP00000076120	binding	701	ENSMUSG00000031750	ENSMUSG00000031750	10
Il34	Csf1R	10090.ENSMUSP00000076120	10090.ENSMUSP00000025523	binding	701	ENSMUSG00000031750	ENSMUSG00000024621	10
Nampt	Nampt	10090.ENSMUSP00000020886	10090.ENSMUSP00000020886	binding	701	ENSMUSG00000020572	ENSMUSG00000020572	10
Ccl25	Ccr9	10090.ENSMUSP00000024004	10090.ENSMUSP00000127024	binding	701	ENSMUSG00000023235	ENSMUSG00000029530	10
Ccl25	Ackr4	10090.ENSMUSP00000024004	10090.ENSMUSP00000075507	binding	701	ENSMUSG00000023235	ENSMUSG00000079355	10
Gdf1	Gdf1	10090.ENSMUSP00000045892	10090.ENSMUSP00000045892	binding	701	ENSMUSG00000109523	ENSMUSG00000109523	10
Bmp1	Postn	10090.ENSMUSP00000022693	10090.ENSMUSP00000072773	binding	701	ENSMUSG00000022098	ENSMUSG00000027750	10
Gdf11	Acvr2A	10090.ENSMUSP00000026408	10090.ENSMUSP00000067305	binding	701	ENSMUSG00000025352	ENSMUSG00000052155	10
Gdf11	Acvr2B	10090.ENSMUSP00000026408	10090.ENSMUSP00000126108	binding	701	ENSMUSG00000025352	ENSMUSG00000061393	10
Gdf11	Acvr1B	10090.ENSMUSP00000026408	10090.ENSMUSP00000000544	binding	701	ENSMUSG00000025352	ENSMUSG00000000532	10
Gdf11	Acvr1C	10090.ENSMUSP00000026408	10090.ENSMUSP00000028178	binding	701	ENSMUSG00000025352	ENSMUSG00000026834	10
Gdf11	Tgfbr1	10090.ENSMUSP00000026408	10090.ENSMUSP00000007757	binding	701	ENSMUSG00000025352	ENSMUSG00000007613	10
Gdf11	Fst	10090.ENSMUSP00000026408	10090.ENSMUSP00000022287	binding	701	ENSMUSG00000025352	ENSMUSG00000021765	10
Gdf10	Gdf10	10090.ENSMUSP00000128621	10090.ENSMUSP00000128621	binding	701	ENSMUSG00000021943	ENSMUSG00000021943	10
Gdf11	Gdf11	10090.ENSMUSP00000026408	10090.ENSMUSP00000026408	binding	701	ENSMUSG00000025352	ENSMUSG00000025352	10
Bmp3	Bmp3	10090.ENSMUSP00000031278	10090.ENSMUSP00000031278	binding	701	ENSMUSG00000029335	ENSMUSG00000029335	10
Spp1	Itgav	10090.ENSMUSP00000108367	10090.ENSMUSP00000028499	binding	701	ENSMUSG00000029304	ENSMUSG00000027087	10
Spp1	Itgb3	10090.ENSMUSP00000108367	10090.ENSMUSP00000021028	binding	701	ENSMUSG00000029304	ENSMUSG00000020689	10
