Identifier	gene_name	GENE_NAME	type	biotypes	description	gc	Cluster
ENSMUSG00000013921	Clip3	CLIP3	protein_coding	protein_coding	CAP-GLY_domain_containing_linker_protein_3_[Source:MGI_Symbol;Acc:MGI:1923936]	0.5786	cyan
ENSMUSG00000041329	Atp1b2	ATP1B2	protein_coding	protein_coding	"ATPase,_Na+/K+_transporting,_beta_2_polypeptide_[Source:MGI_Symbol;Acc:MGI:88109]"	0.508	green
ENSMUSG00000033149	Phldb2	PHLDB2	protein_coding	protein_coding	"pleckstrin_homology_like_domain,_family_B,_member_2_[Source:MGI_Symbol;Acc:MGI:2444981]"	0.4763	red
ENSMUSG00000041313	Slc7a1	SLC7A1	protein_coding	protein_coding	"solute_carrier_family_7_(cationic_amino_acid_transporter,_y+_system),_member_1_[Source:MGI_Symbol;Acc:MGI:88117]"	0.526	green
ENSMUSG00000030317	Timp4	TIMP4	protein_coding	protein_coding	tissue_inhibitor_of_metalloproteinase_4_[Source:MGI_Symbol;Acc:MGI:109125]	0.4906	green
ENSMUSG00000030247	Kcnj8	KCNJ8	protein_coding	protein_coding	"potassium_inwardly-rectifying_channel,_subfamily_J,_member_8_[Source:MGI_Symbol;Acc:MGI:1100508]"	0.5238	red
ENSMUSG00000050737	Ptges	PTGES	protein_coding	protein_coding	prostaglandin_E_synthase_[Source:MGI_Symbol;Acc:MGI:1927593]	0.5613	red
ENSMUSG00000052544	St6galnac3	ST6GALNAC3	protein_coding	protein_coding	"ST6_(alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide_alpha-2,6-sialyltransferase_3_[Source:MGI_Symbol;Acc:MGI:1341828]"	0.4823	red
ENSMUSG00000022548	Apod	APOD	protein_coding	protein_coding	apolipoprotein_D_[Source:MGI_Symbol;Acc:MGI:88056]	0.5038	red
ENSMUSG00000022488	Nckap1l	NCKAP1L	protein_coding	protein_coding	NCK_associated_protein_1_like_[Source:MGI_Symbol;Acc:MGI:1926063]	0.4901	orange
ENSMUSG00000004609	Cd33	CD33	protein_coding	protein_coding	CD33_antigen_[Source:MGI_Symbol;Acc:MGI:99440]	0.494	orange
ENSMUSG00000025902	Sox17	SOX17	protein_coding	protein_coding	SRY_(sex_determining_region_Y)-box_17_[Source:MGI_Symbol;Acc:MGI:107543]	0.5777	red
ENSMUSG00000056476	Med12l	MED12L	protein_coding	protein_coding	mediator_complex_subunit_12-like_[Source:MGI_Symbol;Acc:MGI:2139916]	0.4723	orange
ENSMUSG00000063297	Luzp2	LUZP2	protein_coding	protein_coding	leucine_zipper_protein_2_[Source:MGI_Symbol;Acc:MGI:1889615]	0.4228	yellow
ENSMUSG00000024677	Ms4a6b	MS4A6B	protein_coding	protein_coding	"membrane-spanning_4-domains,_subfamily_A,_member_6B_[Source:MGI_Symbol;Acc:MGI:1917024]"	0.4196	blue
ENSMUSG00000032216	Nedd4	NEDD4	protein_coding	protein_coding	"neural_precursor_cell_expressed,_developmentally_down-regulated_4_[Source:MGI_Symbol;Acc:MGI:97297]"	0.4638	green
ENSMUSG00000042750	Bex2	BEX2	protein_coding	protein_coding	brain_expressed_X-linked_2_[Source:MGI_Symbol;Acc:MGI:1338017]	0.5449	yellow
ENSMUSG00000040631	Dok4	DOK4	protein_coding	protein_coding	docking_protein_4_[Source:MGI_Symbol;Acc:MGI:2148865]	0.581	green
ENSMUSG00000068205	Macrod2	MACROD2	protein_coding	protein_coding	MACRO_domain_containing_2_[Source:MGI_Symbol;Acc:MGI:1920149]	0.4514	yellow
ENSMUSG00000036896	C1qc	C1QC	protein_coding	protein_coding	"complement_component_1,_q_subcomponent,_C_chain_[Source:MGI_Symbol;Acc:MGI:88225]"	0.5656	blue
ENSMUSG00000002980	Bcam	BCAM	protein_coding	protein_coding	basal_cell_adhesion_molecule_[Source:MGI_Symbol;Acc:MGI:1929940]	0.6011	red
ENSMUSG00000034912	Mdga2	MDGA2	protein_coding	protein_coding	MAM_domain_containing_glycosylphosphatidylinositol_anchor_2_[Source:MGI_Symbol;Acc:MGI:2444706]	0.4385	cyan
ENSMUSG00000032482	Cspg5	CSPG5	protein_coding	protein_coding	chondroitin_sulfate_proteoglycan_5_[Source:MGI_Symbol;Acc:MGI:1352747]	0.5569	green
ENSMUSG00000022901	Cd86	CD86	protein_coding	protein_coding	CD86_antigen_[Source:MGI_Symbol;Acc:MGI:101773]	0.4504	blue
ENSMUSG00000074342	I830077J02Rik	I830077J02RIK	protein_coding	protein_coding	RIKEN_cDNA_I830077J02_gene_[Source:MGI_Symbol;Acc:MGI:3588284]	0.4916	orange
ENSMUSG00000051236	Msrb3	MSRB3	protein_coding	protein_coding	methionine_sulfoxide_reductase_B3_[Source:MGI_Symbol;Acc:MGI:2443538]	0.4781	cyan
ENSMUSG00000022010	Tsc22d1	TSC22D1	protein_coding	protein_coding	"TSC22_domain_family,_member_1_[Source:MGI_Symbol;Acc:MGI:109127]"	0.5085	red
ENSMUSG00000040616	Tmem51	TMEM51	protein_coding	protein_coding	transmembrane_protein_51_[Source:MGI_Symbol;Acc:MGI:2384874]	0.5819	red
ENSMUSG00000024397	Aif1	AIF1	protein_coding	protein_coding	allograft_inflammatory_factor_1_[Source:MGI_Symbol;Acc:MGI:1343098]	0.5159	blue
ENSMUSG00000000782	Tcf7	TCF7	protein_coding	protein_coding	"transcription_factor_7,_T_cell_specific_[Source:MGI_Symbol;Acc:MGI:98507]"	0.5476	red
ENSMUSG00000051212	Gpr183	GPR183	protein_coding	protein_coding	G_protein-coupled_receptor_183_[Source:MGI_Symbol;Acc:MGI:2442034]	0.4821	orange
ENSMUSG00000048058	Ldlrad3	LDLRAD3	protein_coding	protein_coding	low_density_lipoprotein_receptor_class_A_domain_containing_3_[Source:MGI_Symbol;Acc:MGI:2138856]	0.4782	red
ENSMUSG00000031428	Zcchc18	ZCCHC18	protein_coding	protein_coding	"zinc_finger,_CCHC_domain_containing_18_[Source:MGI_Symbol;Acc:MGI:1914245]"	0.4861	green
ENSMUSG00000046916	Myct1	MYCT1	protein_coding	protein_coding	myc_target_1_[Source:MGI_Symbol;Acc:MGI:1915882]	0.4214	red
ENSMUSG00000038530	Rgs4	RGS4	protein_coding	protein_coding	regulator_of_G-protein_signaling_4_[Source:MGI_Symbol;Acc:MGI:108409]	0.4494	green
ENSMUSG00000114487	CT010498.1	CT010498.1	protein_coding	protein_coding	NA	0.4267	cyan
ENSMUSG00000028701	Lurap1	LURAP1	protein_coding	protein_coding	leucine_rich_adaptor_protein_1_[Source:MGI_Symbol;Acc:MGI:1915325]	0.5178	green
ENSMUSG00000029759	Pon3	PON3	protein_coding	protein_coding	paraoxonase_3_[Source:MGI_Symbol;Acc:MGI:106686]	0.4437	blue
ENSMUSG00000042284	Itga1	ITGA1	protein_coding	protein_coding	integrin_alpha_1_[Source:MGI_Symbol;Acc:MGI:96599]	0.4317	red
ENSMUSG00000001493	Meox1	MEOX1	protein_coding	protein_coding	mesenchyme_homeobox_1_[Source:MGI_Symbol;Acc:MGI:103220]	0.5242	red
ENSMUSG00000033107	Rnf125	RNF125	protein_coding	protein_coding	ring_finger_protein_125_[Source:MGI_Symbol;Acc:MGI:1914914]	0.4423	cyan
ENSMUSG00000042116	Vwa1	VWA1	protein_coding	protein_coding	von_Willebrand_factor_A_domain_containing_1_[Source:MGI_Symbol;Acc:MGI:2179729]	0.573	red
ENSMUSG00000026395	Ptprc	PTPRC	protein_coding	protein_coding	"protein_tyrosine_phosphatase,_receptor_type,_C_[Source:MGI_Symbol;Acc:MGI:97810]"	0.4121	blue
ENSMUSG00000026097	Ormdl1	ORMDL1	protein_coding	protein_coding	ORM1-like_1_(S._cerevisiae)_[Source:MGI_Symbol;Acc:MGI:2181669]	0.4012	blue
ENSMUSG00000020175	Rab36	RAB36	protein_coding	protein_coding	"RAB36,_member_RAS_oncogene_family_[Source:MGI_Symbol;Acc:MGI:1924127]"	0.5552	red
ENSMUSG00000032649	Colgalt2	COLGALT2	protein_coding	protein_coding	collagen_beta(1-O)galactosyltransferase_2_[Source:MGI_Symbol;Acc:MGI:2138232]	0.505	red
ENSMUSG00000056069	Fam105a	FAM105A	protein_coding	protein_coding	"family_with_sequence_similarity_105,_member_A_[Source:MGI_Symbol;Acc:MGI:2687281]"	0.4435	orange
ENSMUSG00000023150	Ivns1abp	IVNS1ABP	protein_coding	protein_coding	influenza_virus_NS1A_binding_protein_[Source:MGI_Symbol;Acc:MGI:2152389]	0.4328	orange
ENSMUSG00000003452	Bicd1	BICD1	protein_coding	protein_coding	bicaudal_D_homolog_1_(Drosophila)_[Source:MGI_Symbol;Acc:MGI:1101760]	0.422	yellow
ENSMUSG00000019978	Epb41l2	EPB41L2	protein_coding	protein_coding	erythrocyte_membrane_protein_band_4.1_like_2_[Source:MGI_Symbol;Acc:MGI:103009]	0.4898	orange
ENSMUSG00000051041	Olfml1	OLFML1	protein_coding	protein_coding	olfactomedin-like_1_[Source:MGI_Symbol;Acc:MGI:2679264]	0.4872	red
ENSMUSG00000055254	Ntrk2	NTRK2	protein_coding	protein_coding	"neurotrophic_tyrosine_kinase,_receptor,_type_2_[Source:MGI_Symbol;Acc:MGI:97384]"	0.5039	yellow
ENSMUSG00000072115	Ang	ANG	protein_coding	protein_coding	"angiogenin,_ribonuclease,_RNase_A_family,_5_[Source:MGI_Symbol;Acc:MGI:88022]"	0.4881	blue
ENSMUSG00000089945	Pakap	PAKAP	protein_coding	protein_coding	paralemmin_A_kinase_anchor_protein_[Source:MGI_Symbol;Acc:MGI:5141924]	0.5032	red
ENSMUSG00000048376	F2r	F2R	protein_coding	protein_coding	coagulation_factor_II_(thrombin)_receptor_[Source:MGI_Symbol;Acc:MGI:101802]	0.4649	cyan
ENSMUSG00000028517	Plpp3	PLPP3	protein_coding	protein_coding	phospholipid_phosphatase_3_[Source:MGI_Symbol;Acc:MGI:1915166]	0.5014	cyan
ENSMUSG00000019818	Cd164	CD164	protein_coding	protein_coding	CD164_antigen_[Source:MGI_Symbol;Acc:MGI:1859568]	0.439	orange
ENSMUSG00000070509	Rgma	RGMA	protein_coding	protein_coding	repulsive_guidance_molecule_family_member_A_[Source:MGI_Symbol;Acc:MGI:2679262]	0.5967	green
ENSMUSG00000041936	Agrn	AGRN	protein_coding	protein_coding	agrin_[Source:MGI_Symbol;Acc:MGI:87961]	0.5681	green
ENSMUSG00000024232	Bambi	BAMBI	protein_coding	protein_coding	BMP_and_activin_membrane-bound_inhibitor_[Source:MGI_Symbol;Acc:MGI:1915260]	0.4383	cyan
ENSMUSG00000030048	Gkn3	GKN3	protein_coding	protein_coding	gastrokine_3_[Source:MGI_Symbol;Acc:MGI:1916138]	0.5082	red
ENSMUSG00000027375	Mal	MAL	protein_coding	protein_coding	"myelin_and_lymphocyte_protein,_T_cell_differentiation_protein_[Source:MGI_Symbol;Acc:MGI:892970]"	0.5193	red
ENSMUSG00000022836	Mylk	MYLK	protein_coding	protein_coding	"myosin,_light_polypeptide_kinase_[Source:MGI_Symbol;Acc:MGI:894806]"	0.5217	red
ENSMUSG00000036905	C1qb	C1QB	protein_coding	protein_coding	"complement_component_1,_q_subcomponent,_beta_polypeptide_[Source:MGI_Symbol;Acc:MGI:88224]"	0.5735	blue
ENSMUSG00000026797	Stxbp1	STXBP1	protein_coding	protein_coding	syntaxin_binding_protein_1_[Source:MGI_Symbol;Acc:MGI:107363]	0.5284	yellow
ENSMUSG00000057604	Lmcd1	LMCD1	protein_coding	protein_coding	LIM_and_cysteine-rich_domains_1_[Source:MGI_Symbol;Acc:MGI:1353635]	0.5486	red
ENSMUSG00000034947	Tmem106a	TMEM106A	protein_coding	protein_coding	transmembrane_protein_106A_[Source:MGI_Symbol;Acc:MGI:1922056]	0.5242	orange
ENSMUSG00000032006	Pdgfd	PDGFD	protein_coding	protein_coding	"platelet-derived_growth_factor,_D_polypeptide_[Source:MGI_Symbol;Acc:MGI:1919035]"	0.4065	red
ENSMUSG00000026701	Prdx6	PRDX6	protein_coding	protein_coding	peroxiredoxin_6_[Source:MGI_Symbol;Acc:MGI:894320]	0.5236	yellow
ENSMUSG00000031851	Ntpcr	NTPCR	protein_coding	protein_coding	"nucleoside-triphosphatase,_cancer-related_[Source:MGI_Symbol;Acc:MGI:1913816]"	0.5464	orange
ENSMUSG00000059182	Skap2	SKAP2	protein_coding	protein_coding	src_family_associated_phosphoprotein_2_[Source:MGI_Symbol;Acc:MGI:1889206]	0.4346	orange
ENSMUSG00000030786	Itgam	ITGAM	protein_coding	protein_coding	integrin_alpha_M_[Source:MGI_Symbol;Acc:MGI:96607]	0.5121	blue
ENSMUSG00000044827	Tlr1	TLR1	protein_coding	protein_coding	toll-like_receptor_1_[Source:MGI_Symbol;Acc:MGI:1341295]	0.4547	orange
ENSMUSG00000035783	Acta2	ACTA2	protein_coding	protein_coding	"actin,_alpha_2,_smooth_muscle,_aorta_[Source:MGI_Symbol;Acc:MGI:87909]"	0.4896	red
ENSMUSG00000021477	Ctsl	CTSL	protein_coding	protein_coding	cathepsin_L_[Source:MGI_Symbol;Acc:MGI:88564]	0.4887	orange
ENSMUSG00000010529	Gm266	GM266	protein_coding	protein_coding	predicted_gene_266_[Source:MGI_Symbol;Acc:MGI:2685112]	0.5753	red
ENSMUSG00000001864	Aif1l	AIF1L	protein_coding	protein_coding	allograft_inflammatory_factor_1-like_[Source:MGI_Symbol;Acc:MGI:1919598]	0.5343	red
ENSMUSG00000038094	Atp13a4	ATP13A4	protein_coding	protein_coding	ATPase_type_13A4_[Source:MGI_Symbol;Acc:MGI:1924456]	0.4583	red
ENSMUSG00000041797	Abca9	ABCA9	protein_coding	protein_coding	"ATP-binding_cassette,_sub-family_A_(ABC1),_member_9_[Source:MGI_Symbol;Acc:MGI:2386796]"	0.4259	blue
ENSMUSG00000047261	Gap43	GAP43	protein_coding	protein_coding	growth_associated_protein_43_[Source:MGI_Symbol;Acc:MGI:95639]	0.4624	yellow
ENSMUSG00000030605	Mfge8	MFGE8	protein_coding	protein_coding	milk_fat_globule-EGF_factor_8_protein_[Source:MGI_Symbol;Acc:MGI:102768]	0.5649	green
ENSMUSG00000024334	H2-Oa	H2-OA	protein_coding	protein_coding	"histocompatibility_2,_O_region_alpha_locus_[Source:MGI_Symbol;Acc:MGI:95924]"	0.5639	blue
ENSMUSG00000022469	Rapgef3	RAPGEF3	protein_coding	protein_coding	Rap_guanine_nucleotide_exchange_factor_(GEF)_3_[Source:MGI_Symbol;Acc:MGI:2441741]	0.5871	red
ENSMUSG00000031748	Gnao1	GNAO1	protein_coding	protein_coding	"guanine_nucleotide_binding_protein,_alpha_O_[Source:MGI_Symbol;Acc:MGI:95775]"	0.5226	green
ENSMUSG00000002688	Prkd1	PRKD1	protein_coding	protein_coding	protein_kinase_D1_[Source:MGI_Symbol;Acc:MGI:99879]	0.4892	cyan
ENSMUSG00000023913	Pla2g7	PLA2G7	protein_coding	protein_coding	"phospholipase_A2,_group_VII_(platelet-activating_factor_acetylhydrolase,_plasma)_[Source:MGI_Symbol;Acc:MGI:1351327]"	0.4791	red
ENSMUSG00000024411	Aqp4	AQP4	protein_coding	protein_coding	aquaporin_4_[Source:MGI_Symbol;Acc:MGI:107387]	0.4095	green
ENSMUSG00000031465	Angpt2	ANGPT2	protein_coding	protein_coding	angiopoietin_2_[Source:MGI_Symbol;Acc:MGI:1202890]	0.4913	red
ENSMUSG00000030237	Slco1a4	SLCO1A4	protein_coding	protein_coding	"solute_carrier_organic_anion_transporter_family,_member_1a4_[Source:MGI_Symbol;Acc:MGI:1351896]"	0.4037	red
ENSMUSG00000030555	Ttc23	TTC23	protein_coding	protein_coding	tetratricopeptide_repeat_domain_23_[Source:MGI_Symbol;Acc:MGI:1914259]	0.4818	green
ENSMUSG00000071713	Csf2rb	CSF2RB	protein_coding	protein_coding	"colony_stimulating_factor_2_receptor,_beta,_low-affinity_(granulocyte-macrophage)_[Source:MGI_Symbol;Acc:MGI:1339759]"	0.5384	orange
ENSMUSG00000021994	Wnt5a	WNT5A	protein_coding	protein_coding	"wingless-type_MMTV_integration_site_family,_member_5A_[Source:MGI_Symbol;Acc:MGI:98958]"	0.5276	red
ENSMUSG00000038147	Cd84	CD84	protein_coding	protein_coding	CD84_antigen_[Source:MGI_Symbol;Acc:MGI:1336885]	0.4305	orange
ENSMUSG00000030310	Slc6a1	SLC6A1	protein_coding	protein_coding	"solute_carrier_family_6_(neurotransmitter_transporter,_GABA),_member_1_[Source:MGI_Symbol;Acc:MGI:95627]"	0.5418	green
ENSMUSG00000041688	Amot	AMOT	protein_coding	protein_coding	angiomotin_[Source:MGI_Symbol;Acc:MGI:108440]	0.4878	cyan
ENSMUSG00000045092	S1pr1	S1PR1	protein_coding	protein_coding	sphingosine-1-phosphate_receptor_1_[Source:MGI_Symbol;Acc:MGI:1096355]	0.4879	yellow
ENSMUSG00000004730	Adgre1	ADGRE1	protein_coding	protein_coding	adhesion_G_protein-coupled_receptor_E1_[Source:MGI_Symbol;Acc:MGI:106912]	0.4746	orange
ENSMUSG00000019832	Rab32	RAB32	protein_coding	protein_coding	"RAB32,_member_RAS_oncogene_family_[Source:MGI_Symbol;Acc:MGI:1915094]"	0.5059	orange
ENSMUSG00000007097	Atp1a2	ATP1A2	protein_coding	protein_coding	"ATPase,_Na+/K+_transporting,_alpha_2_polypeptide_[Source:MGI_Symbol;Acc:MGI:88106]"	0.545	cyan
ENSMUSG00000027777	Schip1	SCHIP1	protein_coding	protein_coding	schwannomin_interacting_protein_1_[Source:MGI_Symbol;Acc:MGI:1353557]	0.4858	yellow
ENSMUSG00000101972	Hist1h3i	HIST1H3I	protein_coding	protein_coding	"histone_cluster_1,_H3i_[Source:MGI_Symbol;Acc:MGI:2448350]"	0.6691	blue
ENSMUSG00000016128	Stard13	STARD13	protein_coding	protein_coding	StAR-related_lipid_transfer_(START)_domain_containing_13_[Source:MGI_Symbol;Acc:MGI:2385331]	0.5261	red
ENSMUSG00000033446	Lpar6	LPAR6	protein_coding	protein_coding	lysophosphatidic_acid_receptor_6_[Source:MGI_Symbol;Acc:MGI:1914418]	0.3639	blue
ENSMUSG00000030029	Lrig1	LRIG1	protein_coding	protein_coding	leucine-rich_repeats_and_immunoglobulin-like_domains_1_[Source:MGI_Symbol;Acc:MGI:107935]	0.5314	cyan
ENSMUSG00000042082	Arsb	ARSB	protein_coding	protein_coding	arylsulfatase_B_[Source:MGI_Symbol;Acc:MGI:88075]	0.5054	orange
ENSMUSG00000049521	Cdc42ep1	CDC42EP1	protein_coding	protein_coding	CDC42_effector_protein_(Rho_GTPase_binding)_1_[Source:MGI_Symbol;Acc:MGI:1929763]	0.5987	red
ENSMUSG00000040280	Ndufa4l2	NDUFA4L2	protein_coding	protein_coding	"NADH_dehydrogenase_(ubiquinone)_1_alpha_subcomplex,_4-like_2_[Source:MGI_Symbol;Acc:MGI:3039567]"	0.59	red
